Category,Room,ItemName,Description,Quantity,UnitCost,Markup,MarkupType,Total,Confidence
Backsplash,,,,,,,,,
Backsplash,Kitchen,Kitchen Backsplash,Install new tile backsplash.,10 LF,"$2,200 per LF",0.8,,3960.0,90.0
,,,,,,,,3960.00,
Bathroom Renovation,,,,,,,,,
Bathroom Renovation,Master Bathroom,Master Bathroom Modernization,"Modernize master bathroom with new fixtures, tile, vanity, toilet. Push wall further if possible. Direct replacement of existing fixtures.",1 UNIT,"$7,700 per UNIT",0.75,,13475.0,90.0
,,,,,,,,13475.00,
Cabinetry & Storage,,,,,,,,,
Cabinetry & Storage,Kitchen,Kitchen Cabinets Installation,Install new L-shaped kitchen cabinets.,10 LF,"$7,600 per UNIT",0.75,,13300.0,95.0
Cabinetry & Storage,Kitchen,Kitchen Electrical,"Rough electrical, lighting circuits, GFCI outlets, and under-cabinet lighting.",1 UNIT,"$3,500 per UNIT",0.75,,6125.0,90.0
Cabinetry & Storage,Entry,Entry Closet Rebuild,"Remove existing closet and rebuild with integrated bench/seat for putting on shoes, storage underneath, facing new direction.",1 UNIT,"$3,000 per UNIT",0.75,,5250.0,90.0
Cabinetry & Storage,Bedroom,Bedroom Closet Addition,Add new closet in bedroom area.,1 UNIT,"$2,000 per UNIT",0.75,,3500.0,90.0
,,,,,,,,28175.00,
Countertops,,,,,,,,,
Countertops,Kitchen,Kitchen Countertops,Install new countertops with special formula.,45 SF,$97 per SF,0.75,,13763.75,95.0
,,,,,,,,13763.75,
Demolition,,,,,,,,,
Demolition,Bathroom 1,Bathroom Demolition,"Remove old fixtures, tile, vanity, and flooring.",60 SF,"$2,200 per UNIT",0.75,,3850.0,95.0
Demolition,Kitchen,Kitchen Demolition,"Remove existing cabinets, countertops, appliances, and flooring.",10 LF,"$3,300 per LF",0.75,,5775.0,95.0
,,,,,,,,9625.00,
Doors & Windows,,,,,,,,,
Doors & Windows,Entire Apartment,Interior Door Replacement,Replace interior doors throughout apartment to make them closer together.,4 UNIT,$500 per UNIT,0.75,,3500.0,85.0
Doors & Windows,Bedroom,Window Installation,Install large fixed pane window for lighting in bedroom area.,1 UNIT,"$2,000 per UNIT",0.75,,3500.0,85.0
,,,,,,,,7000.00,
Electrical,,,,,,,,,
